Person ID,CKW ID,Gender,District,Education Level,Active Date,CKW Status,CKW Type,Poverty Status,Previous Month's Performance: Start Date,Previous Month's Performance: Searches::Target,Previous Month's Performance: Searches::Total Valid,Previous Month's Performance: Searches::Invalid,Previous Month's Performance: Searches::New System (Updated Daily),Previous Month's Performance: Surveys::Target,Previous Month's Performance: Surveys::Total Valid,Previous Month's Performance: Surveys::Approved,Previous Month's Performance: Surveys::Rejected,Previous Month's Performance: Surveys::Pending,Previous Month's Performance: Surveys::Not Reviewed
Person-001017,CKW-10-000537,Female,Gulu,,10/8/10,Dropped,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-001022,CKW-10-000542,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,20,14,20,,0,0,0,0,0
Person-001021,CKW-10-000541,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,60,0,60,,19,0,0,0,19
Person-000998,CKW-10-000518,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
Person-000996,CKW-10-000516,Female,Gulu,,10/8/10,Active,,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
Person-000990,CKW-10-000510,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
Person-000992,CKW-10-000512,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,21,4,21,,0,0,0,0,0
Person-000999,CKW-10-000519,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,47,4,47,,7,0,0,0,7
Person-000985,CKW-10-000509,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
Person-006208,CKW-10-000742,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,61,2,61,,25,0,0,0,25
Person-025068,CKW-11-003067,Female,Gulu,,,Active,,Unknown,10/1/11,,0,0,0,,74,27,0,6,41
Person-006300,CKW-10-000743,Male,Kapchorwa,,,,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-025411,CKW-11-003192,,Kapchorwa,,6/13/11,Active,,Unknown,10/1/11,,33,2,33,,3,0,0,0,3
Person-025410,CKW-11-003191,,Kapchorwa,,6/13/11,Active,,Unknown,10/1/11,,0,0,0,,1,0,0,0,1
Person-025475,CKW-11-003226,Male,Kapchorwa,,,,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-025481,CKW-11-003227,Male,Kapchorwa,,,,,Unknown,10/1/11,,3,0,3,,0,0,0,0,0
Person-011220,CKW-11-001082,Male,Kapchorwa,,6/12/10,Active,Demo Account,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
Person-023909,CKW-11-002539,,Kapchorwa,,,,,Unknown,10/1/11,,0,2,0,,1,0,0,0,1
Person-023907,CKW-11-002537,,Kapchorwa,,,,,Unknown,10/1/11,,0,3,0,,0,,0,0,0
Person-023906,CKW-11-002536,,Kapchorwa,,,,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-023908,CKW-11-002538,,Kapchorwa,,,,,Unknown,10/1/11,,0,1,0,,0,,0,0,0
Person-012136,CKW-11-001128,Male,Kapchorwa,,,Active,GF/Applab Staff,Unknown,10/1/11,,0,0,0,,1,0,0,0,1
Person-000820,CKW-10-000368,Male,Kapchorwa,Graduate,,,GF/Applab Staff,Unknown,10/1/11,,0,0,0,,3,0,0,0,3
Person-000806,CKW-10-000220,Female,Kapchorwa,,6/12/10,Dropped,CKW,Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000802,CKW-10-000227,Female,Kapchorwa,,6/12/10,Dropped,CKW,Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000801,CKW-10-000228,Male,Kapchorwa,,6/12/10,Dropped,CKW,Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000799,CKW-10-000252,Female,Kapchorwa,,,,GF/Applab Staff,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-000798,CKW-10-000226,Male,Kapchorwa,,6/12/10,Active,CKW,Poor,10/1/11,,11,41,11,,0,0,0,0,0
Person-000797,CKW-10-000225,Male,Kapchorwa,,6/12/10,Active,CKW,Poor,10/1/11,,29,2,29,,0,0,0,0,0
Person-000796,CKW-10-000009,Male,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,1,51,1,,13,0,1,0,13
Person-000795,CKW-10-000008,Male,Kapchorwa,O-Level,6/12/10,Active,CKW,Not Poor,10/1/11,,74,18,74,,0,0,0,0,0
Person-000793,CKW-10-000211,Male,Kapchorwa,O-Level,6/12/10,Active,CKW,Not Poor,10/1/11,,0,0,0,,0,0,0,0,0
Person-000792,CKW-10-000210,Male,Kapchorwa,,6/12/10,Active,CKW,Poor,10/1/11,,75,1,75,,8,0,1,0,8
Person-000791,CKW-10-000209,Male,Kapchorwa,,6/12/10,Active,CKW,Poor,10/1/11,,57,5,57,,8,0,0,0,8
Person-000790,CKW-10-000208,Male,Kapchorwa,,6/12/10,Active,CKW,Poor,10/1/11,,44,61,44,,0,0,0,0,0
Person-000789,CKW-10-000206,Male,Kapchorwa,,6/12/10,Active,CKW,Not Poor,10/1/11,,3,42,3,,0,0,0,0,0
Person-000788,CKW-10-000205,Female,Kapchorwa,,6/12/10,Active,CKW,Poor,10/1/11,,50,5,50,,12,0,2,0,12
Person-000787,CKW-10-000204,Male,Kapchorwa,,6/12/10,Active,CKW,Not Poor,10/1/11,,11,40,11,,11,0,0,0,11
Person-000786,CKW-10-000203,Male,Kapchorwa,,6/12/10,Active,CKW,Poor,10/1/11,,0,0,0,,0,0,0,0,0
Person-000785,CKW-10-000202,Male,Kapchorwa,,6/12/10,Active,CKW,Poor,10/1/11,,97,2,97,,12,0,0,0,12
Person-000784,CKW-10-000201,Female,Kapchorwa,,6/12/10,Active,CKW,Poor,10/1/11,,23,47,23,,13,0,0,0,13
Person-000783,CKW-10-000199,Male,Kapchorwa,,6/12/10,Active,CKW,Poor,10/1/11,,9,101,9,,14,0,0,0,14
Person-000782,CKW-10-000198,Female,Kapchorwa,Certificate,6/12/10,Dropped,CKW,Not Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000781,CKW-10-000197,Male,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,0,30,0,,0,0,0,0,0
Person-000780,CKW-10-000196,Male,Kapchorwa,Diploma,6/12/10,Active,CKW,Poor,10/1/11,,30,44,30,,9,0,0,0,9
Person-000779,CKW-10-000195,Female,Kapchorwa,Diploma,6/12/10,Active,CKW,Poor,10/1/11,,0,0,0,,0,0,0,0,0
Person-000778,CKW-10-000194,Male,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,49,0,49,,4,0,4,0,4
Person-000777,CKW-10-000193,Male,Kapchorwa,A-Level,6/12/10,Active,CKW,Not Poor,10/1/11,,72,10,72,,12,0,0,0,12
Person-000776,CKW-10-000192,Female,Kapchorwa,Graduate,,Dropped,CKW,Not Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000775,CKW-10-000191,Female,Kapchorwa,Graduate,6/12/10,Active,CKW,Poor,10/1/11,,4,52,4,,1,0,0,0,1
Person-000774,CKW-10-000190,Male,Kapchorwa,Certificate,6/12/10,Active,CKW,Poor,10/1/11,,23,1,23,,0,0,0,0,0
Person-000773,CKW-10-000189,Female,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,42,37,42,,0,0,0,0,0
Person-000772,CKW-10-000188,Male,Kapchorwa,O-Level,6/12/10,Dropped,CKW,Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000771,CKW-10-000187,Female,Kapchorwa,A-Level,6/12/10,Active,CKW,Not Poor,10/1/11,,2,46,2,,5,0,1,0,5
Person-000770,CKW-10-000186,Male,Kapchorwa,Graduate,6/12/10,Active,CKW,Not Poor,10/1/11,,38,12,38,,8,0,0,0,8
Person-000769,CKW-10-000185,Female,Kapchorwa,Graduate,6/12/10,Active,CKW,Poor,10/1/11,,10,54,10,,0,0,0,0,0
Person-000768,CKW-10-000184,Female,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,0,55,0,,1,0,3,0,1
Person-000767,CKW-10-000183,Female,Kapchorwa,Diploma,6/12/10,Active,CKW,Poor,10/1/11,,29,0,29,,0,0,0,0,0
Person-000766,CKW-10-000182,Male,Kapchorwa,O-Level,6/12/10,Dropped,CKW,Not Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000765,CKW-10-000181,Male,Kapchorwa,Certificate,6/12/10,Active,CKW,Poor,10/1/11,,70,17,70,,12,0,0,0,12
Person-000764,CKW-10-000180,Female,Kapchorwa,Diploma,6/12/10,Dropped,CKW,Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000763,CKW-10-000178,Male,Kapchorwa,Graduate,6/12/10,Active,CKW,Poor,10/1/11,,61,0,61,,3,0,0,0,3
Person-000762,CKW-10-000177,Male,Kapchorwa,Graduate,6/12/10,Dropped,CKW,Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000761,CKW-10-000176,Male,Kapchorwa,Certificate,6/12/10,Active,CKW,Poor,10/1/11,,43,6,43,,5,0,0,0,5
Person-000760,CKW-10-000175,Female,Kapchorwa,O-Level,6/12/10,Active,CKW,Not Poor,10/1/11,,71,10,71,,13,0,0,0,13
Person-000759,CKW-10-000174,Male,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,50,27,50,,13,0,0,0,13
Person-000758,CKW-10-000173,Female,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,118,5,118,,11,0,0,0,11
Person-000757,CKW-10-000172,Male,Kapchorwa,Primary Education,6/12/10,Active,CKW,Poor,10/1/11,,26,185,26,,19,0,3,2,17
Person-000756,CKW-10-000171,Female,Kapchorwa,Certificate,6/12/10,Dropped,CKW,Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000755,CKW-10-000170,Male,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,10,50,10,,1,0,0,1,0
Person-000754,CKW-10-000169,Male,Kapchorwa,,6/12/10,Dropped,CKW,Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000753,CKW-10-000168,Female,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,2,0,2,,4,0,0,0,4
Person-000752,CKW-10-000167,Male,Kapchorwa,A-Level,6/12/10,Active,CKW,Poor,10/1/11,,3,0,3,,0,0,0,0,0
Person-000751,CKW-10-000166,Female,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,33,44,33,,11,0,0,0,11
Person-000750,CKW-10-000165,Female,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,27,16,27,,9,0,0,0,9
Person-000749,CKW-10-000164,Female,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,40,46,40,,13,0,0,1,12
Person-000748,CKW-10-000163,Female,Kapchorwa,O-Level,6/12/10,Active,CKW,Not Poor,10/1/11,,24,15,24,,0,0,0,0,0
Person-000747,CKW-10-000162,Female,Kapchorwa,Primary Education,6/12/10,Active,CKW,Poor,10/1/11,,62,0,62,,11,0,0,0,11
Person-000746,CKW-10-000161,Female,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,41,3,41,,4,0,0,0,4
Person-000745,CKW-10-000160,Female,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,61,5,61,,16,0,0,0,16
Person-000744,CKW-10-000159,Female,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,30,14,30,,4,0,0,0,4
Person-000743,CKW-10-000157,Female,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,0,0,0,,0,0,0,0,0
Person-000742,CKW-10-000156,Female,Kapchorwa,Certificate,6/12/10,Active,CKW,Poor,10/1/11,,2,0,2,,0,0,0,0,0
Person-000741,CKW-10-000155,Male,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,37,38,37,,7,0,0,0,7
Person-000740,CKW-10-000154,Male,Kapchorwa,Certificate,6/12/10,Active,CKW,Poor,10/1/11,,38,12,38,,8,1,0,0,7
Person-000739,CKW-10-000153,Male,Kapchorwa,A-Level,6/12/10,Active,CKW,Poor,10/1/11,,69,17,69,,0,0,0,0,0
Person-000738,CKW-10-000151,Male,Kapchorwa,Graduate,6/12/10,Active,CKW,Poor,10/1/11,,1,48,1,,0,0,0,0,0
Person-000737,CKW-10-000150,Female,Kapchorwa,O-Level,6/12/10,Active,CKW,Not Poor,10/1/11,,53,8,53,,16,0,0,0,16
Person-000736,CKW-10-000149,Male,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,5,6,5,,0,0,0,0,0
Person-000735,CKW-10-000147,Male,Kapchorwa,O-Level,6/12/10,Active,CKW,Not Poor,10/1/11,,12,31,12,,12,0,0,0,12
Person-000734,CKW-10-000146,Male,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,0,0,0,,0,0,0,0,0
Person-000733,CKW-10-000144,Male,Kapchorwa,Above A-level,6/12/10,Active,CKW,Poor,10/1/11,,26,24,26,,6,0,0,0,6
Person-000732,CKW-10-000143,Male,Kapchorwa,Above A-level,6/12/10,Active,CKW,Not Poor,10/1/11,,0,0,0,,0,0,0,0,0
Person-000731,CKW-10-000142,Female,Kapchorwa,Above A-level,6/12/10,Active,CKW,Poor,10/1/11,,0,0,0,,0,0,0,0,0
Person-000730,CKW-10-000140,Male,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,44,8,44,,14,0,0,0,14
Person-000729,CKW-10-000139,Female,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,0,41,0,,12,0,0,0,12
Person-000728,CKW-10-000138,Male,Kapchorwa,Above A-level,6/12/10,Active,CKW,Poor,10/1/11,,57,1,57,,11,1,0,0,10
Person-000727,CKW-10-000137,Male,Kapchorwa,O-Level,6/12/10,Active,CKW,Not Poor,10/1/11,,28,31,28,,6,0,0,0,6
Person-000726,CKW-10-000136,Male,Kapchorwa,O-Level,6/12/10,Dropped,CKW,Not Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000725,CKW-10-000135,Male,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,0,0,0,,0,0,0,0,0
Person-000724,CKW-10-000133,Male,Kapchorwa,Above A-level,6/12/10,Active,CKW,Poor,10/1/11,,0,0,0,,0,0,0,0,0
Person-000723,CKW-10-000132,Male,Kapchorwa,Above A-level,6/12/10,Active,CKW,Poor,10/1/11,,51,46,51,,12,0,0,0,12
Person-000722,CKW-10-000130,Female,Kapchorwa,Above A-level,6/12/10,Dropped,CKW,Not Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000721,CKW-10-000129,Male,Kapchorwa,Above A-level,6/12/10,Active,CKW,Poor,10/1/11,,0,11,0,,0,0,0,0,0
Person-000720,CKW-10-000128,Female,Kapchorwa,Above A-level,6/12/10,Active,CKW,Poor,10/1/11,,0,84,0,,1,0,0,1,0
Person-000719,CKW-10-000127,Male,Kapchorwa,A-Level,6/12/10,Active,CKW,Poor,10/1/11,,0,50,0,,12,0,0,0,12
Person-000718,CKW-10-000126,Female,Kapchorwa,A-Level,6/12/10,Active,CKW,Not Poor,10/1/11,,62,38,62,,13,0,0,0,13
Person-000717,CKW-10-000125,Male,Kapchorwa,Above A-level,6/12/10,Dropped,CKW,Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000716,CKW-10-000124,Male,Kapchorwa,Above A-level,6/12/10,Active,CKW,Poor,10/1/11,,62,44,62,,11,0,0,0,11
Person-000715,CKW-10-000123,Male,Kapchorwa,Above A-level,6/12/10,Active,CKW,Poor,10/1/11,,62,10,62,,4,0,0,0,4
Person-000714,CKW-10-000122,Male,Kapchorwa,Above A-level,6/12/10,Dropped,CKW,Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000713,CKW-10-000121,Female,Kapchorwa,Above A-level,6/12/10,Active,CKW,Not Poor,10/1/11,,110,2,110,,12,0,0,0,12
Person-000712,CKW-10-000120,Male,Kapchorwa,Above A-level,6/12/10,Active,CKW,Not Poor,10/1/11,,0,36,0,,0,0,0,0,0
Person-000711,CKW-10-000119,Female,Kapchorwa,Above A-level,6/12/10,Active,CKW,Poor,10/1/11,,16,133,16,,0,0,0,0,0
Person-000710,CKW-10-000118,Male,Kapchorwa,O-Level,6/12/10,Dropped,CKW,Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000709,CKW-10-000117,Female,Kapchorwa,A-Level,6/12/10,Active,CKW,Poor,10/1/11,,0,0,0,,0,0,0,0,0
Person-000708,CKW-10-000115,Male,Kapchorwa,O-Level,6/12/10,Active,CKW,Poor,10/1/11,,52,1,52,,0,0,0,0,0
Person-000707,CKW-10-000114,Male,Kapchorwa,O-Level,6/12/10,Dropped,CKW,Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000706,CKW-10-000113,Male,Kapchorwa,Above A-level,6/12/10,Dropped,CKW,Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000704,CKW-10-000232,Male,Kapchorwa,,6/12/10,Active,CKW,Poor,10/1/11,,17,25,17,,0,0,0,0,0
Person-000699,CKW-10-000248,Male,Kapchorwa,,,,Developer,Poor,10/1/11,,0,0,0,,0,,0,0,0
Person-000698,CKW-10-000251,Female,Kapchorwa,,,,GF/Applab Staff,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-000697,CKW-10-000278,Male,Kapchorwa,Primary Education,,,GF/Applab Staff,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
Person-000696,CKW-10-000279,Male,Kapchorwa,Graduate,,,GF/Applab Staff,Unknown,10/1/11,,0,0,0,,1,0,0,0,1
Person-000695,CKW-10-000280,Male,Kapchorwa,Graduate,,,GF/Applab Staff,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
Person-000694,CKW-10-000250,Male,Kapchorwa,,,,,Unknown,10/1/11,,18,19,18,,1,0,0,0,1
Person-000693,CKW-10-000305,Female,Kapchorwa,Graduate,,,GF/Applab Staff,Unknown,10/1/11,,0,0,0,,1,0,0,0,1
Person-000691,CKW-10-000307,Male,Kapchorwa,,,,GF/Applab Staff,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-000683,CKW-10-000219,Male,Kapchorwa,,6/12/10,Active,GF/Applab Staff,Poor,10/1/11,,0,0,0,,1,0,0,0,1
Person-000680,CKW-10-000217,Female,Kapchorwa,,6/12/10,Active,CKW,Poor,10/1/11,,0,11,0,,0,0,0,0,0
Person-000676,CKW-10-000241,Male,Kapchorwa,,,,Data Validator,Not Poor,10/1/11,,0,0,0,,50,0,0,0,50
Person-000675,CKW-10-000240,Male,Kapchorwa,,6/12/10,Active,Data Validator,Poor,10/1/11,,0,0,0,,40,0,0,0,40
Person-000674,CKW-10-000243,Female,Kapchorwa,,6/12/10,Active,Data Validator,Poor,10/1/11,,0,0,0,,29,0,0,0,29
Person-003302,CKW-10-000726,Male,Kapchorwa,,6/12/10,Active,,Unknown,10/1/11,,57,2,57,,0,0,0,0,0
Person-020417,CKW-11-001634,Female,Kapchorwa,,,,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-020477,CKW-11-001643,Male,Kapchorwa,,,,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-020423,CKW-11-001639,Male,Kapchorwa,,,,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-020421,CKW-11-001637,,Kapchorwa,,,,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-020422,CKW-11-001638,Female,Kapchorwa,,,,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-020475,CKW-11-001641,Male,Kapchorwa,,,,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-020419,CKW-11-001635,,Kapchorwa,,,,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-020420,CKW-11-001636,Male,Kapchorwa,,,,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-020474,CKW-11-001640,,Kapchorwa,,,,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-020478,CKW-11-001644,Male,Kapchorwa,,,,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-023972,CKW-11-002572,,Kapchorwa,,,,,Unknown,10/1/11,,0,0,0,,1,0,0,0,1
Person-078854,CKW-11-016364,Male,Kapchorwa,,,In Training,,Unknown,10/1/11,,0,14,0,,2,0,0,0,2
Person-078869,CKW-11-016366,Female,Kapchorwa,,,In Training,,Unknown,10/1/11,,0,11,0,,5,0,0,0,5
Person-078831,CKW-11-016361,Male,Kapchorwa,,,In Training,,Unknown,10/1/11,,0,17,0,,10,0,0,0,10
Person-078819,CKW-11-016359,Male,Kapchorwa,,,In Training,,Unknown,10/1/11,,41,16,41,,3,0,0,0,3
